id,name,artists,id_artists,genres,release_year,duration_s,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7FhopXtl9z9YtD9NwUf9ss,Qué Mal Te Fue (Remix),"Natti Natasha, Justin Quiles, Miky Woodz","['1GDbiv3spRmZ1XdM1jQbT7', '14zUHaJZo1mnYtn6IBRaRP', '1pf0MPKfKdvS8J779mS1Ay']",latin reggaeton trap latino latin latin hip hop reggaeton reggaeton flow trap latino tropical latin latin pop rap latina reggaeton trap latino tropical,2020,206.897,72,0.769,0.712,7,54.958,0,0.105,0.0812,6.67e-06,0.0988,0.841,173.931
6fGyrAxqgdvhzcOKlMQq5s,Illuminati - Remix,"Kiddtetoon, Diego Smith, Ozuna","['2zfwez4uxbP8NcFy3kaNLF', '60d7XKY1qqY5cPnXOCVvo6', '1i8SpTcr7yvPOmcqrbnVXY']",trap chileno latin puerto rican pop reggaeton trap latino trap chileno trap latino,2020,290.66700000000003,72,0.892,0.531,0,51.689,1,0.182,0.06,0.0,0.0996,0.501,89.995
1QaCsLoKEWVujL3owyyei4,Only Fans - Remix,"Young Martino, Lunay, Myke Towers, Jhay Cortez, Arcangel, Darell, Ñengo Flow, Brray, Joyce Santana","['7Kh6SBEGtFtqjYo5bN0ACG', '47MpMsUfWtgyIIBEFOr4FE', '7iK8PXO48WeuP03g8YR51W', '0EFisYRi20PTADoJrifHrz', '4SsVbpTthjScTS7U2hmr1X', '1TtXnWcUs0FCkaZDPGYHdf', '12vb80Km0Ew53ABfJOepVz', '1GKIlPFdcewHtpDVCQ8zmJ', '4zOhMWD0LoBe2nP7s9cHhX']",reggaeton flow trap latino latin latin pop reggaeton reggaeton flow trap latino tropical trap latino latin latin hip hop reggaeton reggaeton flow trap latino tropical reggaeton flow trap boricua trap latino latin latin hip hop reggaeton reggaeton flow trap latino reggaeton flow trap latino latin latin hip hop reggaeton trap latino tropical latin reggaeton trap latino,2020,422.577,72,0.722,0.745,1,54.441,0,0.345,0.422,0.0,0.191,0.818,163.012
4MZSqgwlE71CWZ6qQ3gkKm,<3,Bad Bunny,['4q3ewBCX7sLwd24euuV69X'],latin reggaeton trap latino,2020,157.967,72,0.631,0.665,10,52.411,0,0.229,0.602,1.7e-06,0.152,0.634,80.353
70zg99pT51vB4wlMS7e4q7,La Playa - Remix,"Myke Towers, Maluma, Farruko","['7iK8PXO48WeuP03g8YR51W', '1r4hJ1h58CWwUQe3MxPuau', '329e4yvIujISKGKz1BZZbO']",trap latino latin latin hip hop reggaeton trap latino tropical latin reggaeton reggaeton colombiano,2020,250.333,72,0.775,0.633,10,56.668,0,0.133,0.201,0.0,0.219,0.394,140.008
2ttoeuNKXixDHom5rRvowm,De Los Besos Que Te Di,Christian Nodal,['0XwVARXT135rw8lyw1EeWP'],mariachi nuevo regional mexicano ranchera regional mexican,2019,167.493,72,0.683,0.501,11,56.177,0,0.031,0.305,0.0,0.0439,0.703,97.971
0wkr4KqObqC55h4U9wqwKn,No Se Da Cuenta,"Ozuna, Daddy Yankee","['1i8SpTcr7yvPOmcqrbnVXY', '4VMYDCV2IEDYJArk749S6m']",latin puerto rican pop reggaeton trap latino latin latin hip hop reggaeton trap latino tropical,2020,231.733,72,0.811,0.753,1,56.05,0,0.0403,0.138,0.0,0.253,0.519,91.98
5Jm4w8jmPEBTLjI9vH4fXo,Caramelo,Ozuna,['1i8SpTcr7yvPOmcqrbnVXY'],latin puerto rican pop reggaeton trap latino,2020,217.24,72,0.735,0.791,6,55.538,1,0.0679,0.0529,0.000146,0.145,0.697,168.087
7mcdgAXmb35dakBnfDIv3q,Narcos,Anuel AA,['2R21vXR83lH98kGeO99Y66'],latin reggaeton reggaeton flow trap boricua trap latino,2020,259.25,72,0.614,0.746,10,56.473,0,0.196,0.347,1.43e-05,0.0874,0.601,168.072
01SMtfSbJlcxUdJvOofMOx,Jockey,"Dalex, Lenny Tavárez, iZaak, Dímelo Flow","['0KPX4Ucy9dk82uj4GpKesn', '1pQWsZQehhS4wavwh7Fnxd', '4s6Xg38sbqh4xpf4OqhVUK', '3fZk3Gm5dN5v5yfYMQ04Bx']",reggaeton flow latin reggaeton reggaeton flow trap argentino trap latino latin reggaeton reggaeton flow trap latino tropical latin rb en espanol reggaeton trap latino,2020,221.547,72,0.598,0.556,7,55.701,1,0.142,0.0979,0.000933,0.131,0.552,170.057
7y8Qy4I0VWGMEbZvZ0C9x7,Love You From a Distance,Ashley Kutcher,['1Zi1c8sWZTy5rDiN3lAuEj'],alt z,2020,204.0,72,0.333,0.538,4,51.347,1,0.0325,0.557,0.0,0.0977,0.63,149.377
5KcuLISuSBnMFAPVhFnHr5,Si Te Falta Alguien,Christian Nodal,['0XwVARXT135rw8lyw1EeWP'],mariachi nuevo regional mexicano ranchera regional mexican,2019,187.987,72,0.748,0.538,6,56.123,0,0.0277,0.408,0.0,0.219,0.749,130.229
1Q5kgpp4pmyGqPwNBzkSrw,Roadhouse Blues,The Doors,['22WZ7M8sxp5THdruNY3gXt'],acid rock album rock classic rock psychedelic rock rock,1970,243.827,72,0.623,0.633,9,51.788,1,0.0304,0.336,4.6e-05,0.147,0.895,121.119
0UAJH0k4k3slcE83a9UGCe,Lola,The Kinks,['1SQRv42e4PjEYfPhS0Tk9E'],album rock art rock british invasion classic rock folk rock glam rock mellow gold protopunk psychedelic rock rock roots rock,1970,241.04,72,0.474,0.917,9,55.81,1,0.0395,0.582,0.231,0.201,0.902,152.113
1ZPpGPko8oULTmi34rozMh,Trivia 轉 : Seesaw,BTS,['3Nrfpe0tUJi4K4DXYWgMUX'],kpop kpop boy group,2018,246.334,72,0.707,0.791,5,55.519,0,0.035,0.181,0.0,0.102,0.678,106.985
7BMO7O7ImjV8HNTH74Tshv,Cleanin' Out My Closet,Eminem,['7dGJo4pcD2V6oG8kP0tJRR'],detroit hip hop hip hop rap,2002,297.84000000000003,72,0.908,0.758,9,55.247,0,0.174,0.0687,0.0,0.0783,0.87,148.015
39oeKRgsLeynDIbWuXyA47,CAN'T GET OVER YOU (feat. Clams Casino),"Joji, Clams Casino","['3MZsBdqDrRTJihTHQrO6Dq', '5vSQUyT33qxr1xAX2Tkf3A']",alternative rb viral pop chillwave escape room experimental hip hop psychedelic hip hop underground hip hop wave witch house,2018,107.077,72,0.9,0.316,9,51.203,1,0.332,0.684,0.0771,0.0853,0.844,129.914
71iAechwVKGu26pahzFL0k,Cuando Nadie Ve,Morat,['5C4PDR4LnhZTbVnKWXuDKD'],colombian pop latin latin pop,2018,219.587,72,0.806,0.778,1,55.423,0,0.0616,0.133,0.0,0.218,0.84,95.993
0q21FNwES2bbtcduB6kjEU,Dancing in the Moonlight,King Harvest,['5FHwr1FymaS5kutIEK6e2y'],soft rock,1973,181.133,72,0.657,0.435,10,44.293,1,0.0552,0.739,0.0,0.167,0.771,135.975
2L4YgbxxwmwafMqLIjSx8q,Livin’ The Dream,Morgan Wallen,['4oUHIQIBe0LHzYfvXNW4QM'],contemporary country deep talent show,2020,239.12,72,0.621,0.754,7,54.096,0,0.0269,0.575,0.00484,0.213,0.441,127.036
2hx8cZug1bgRMXgW5RCTUV,"3, 2, 1",24kGoldn,['6fWVd57NKTalqvmjRd2t8Z'],cali rap,2021,131.587,72,0.694,0.708,0,57.934,1,0.137,0.246,0.0,0.152,0.69,164.958
5lDriBxJd22IhOH9zTcFrV,Dirty Little Secret,The All-American Rejects,['3vAaWhdBR38Q02ohXqaNHT'],modern rock neo mellow pop punk pop rock postteen pop,2005,193.653,72,0.465,0.954,10,55.749,1,0.044,0.000346,5.38e-06,0.573,0.458,143.85
